Name,SDSS,SDSS_sigma,Pipeline,Pipeline_sigma,A.S.B.,A.S.B._sigma
SDSSJ0029-0055,229.000,18.000,216.132,14.828,215.761,14.838
SDSSJ0037-0942,279.000,14.000,265.281,7.789,264.698,7.798
SDSSJ0044+0113,266.000,13.000,265.610,8.717,267.140,8.745
SDSSJ0109+1500,251.000,19.000,240.071,14.930,240.309,14.898
SDSSJ0216-0813,333.000,23.000,349.432,18.510,350.675,18.594
SDSSJ0252+0039,164.000,12.000,193.201,9.869,193.123,9.869
SDSSJ0330-0020,212.000,21.000,273.216,22.903,273.237,22.916
SDSSJ0405-0455,160.000,8.000,175.055,5.161,175.007,5.161
SDSSJ0728+3835,214.000,11.000,210.153,8.067,209.869,8.056
SDSSJ0737+3216,338.000,17.000,313.778,10.792,313.637,10.770
SDSSJ0822+2652,259.000,15.000,252.972,11.729,250.939,11.736
SDSSJ0841+3824,225.000,11.000,215.529,5.924,216.113,5.926
SDSSJ0912+0029,326.000,16.000,301.300,8.988,301.184,8.973
SDSSJ0935-0003,396.000,35.000,311.985,20.568,308.278,20.407
SDSSJ0936+0913,243.000,12.000,226.193,8.414,227.134,8.413
SDSSJ0946+1006,263.000,21.000,257.114,16.009,256.996,16.018
SDSSJ0955+0101,192.000,13.000,192.800,9.671,192.856,9.668
SDSSJ0956+5100,334.000,17.000,319.615,12.438,319.636,12.433
SDSSJ0959+4416,244.000,19.000,241.534,13.244,241.745,13.212
SDSSJ0959+0410,197.000,13.000,192.221,8.838,192.128,8.820
SDSSJ1016+3859,247.000,13.000,254.407,9.612,254.540,9.621
SDSSJ1020+1122,282.000,18.000,281.501,13.418,281.600,13.418
SDSSJ1023+4230,242.000,15.000,271.782,11.879,271.563,11.961
SDSSJ1029+0420,210.000,11.000,201.717,7.030,201.354,7.026
SDSSJ1032+5322,295.000,15.000,281.784,11.574,281.883,11.570
SDSSJ1103+5322,196.000,12.000,221.419,9.191,221.953,9.182
SDSSJ1106+5228,262.000,13.000,272.263,7.586,272.329,7.580
SDSSJ1112+0826,320.000,20.000,259.770,14.615,260.411,14.607
SDSSJ1134+6027,239.000,12.000,238.664,7.725,238.582,7.737
SDSSJ1142+1001,221.000,22.000,236.021,15.975,237.612,15.953
SDSSJ1143-0144,269.000,13.000,259.776,3.722,259.768,3.721
SDSSJ1153+4612,226.000,15.000,210.724,11.253,210.857,11.244
SDSSJ1204+0358,267.000,17.000,250.254,12.388,250.614,12.436
SDSSJ1205+4910,281.000,14.000,273.564,10.652,275.899,10.704
SDSSJ1213+6708,292.000,15.000,267.083,7.394,267.423,7.397
SDSSJ1218+0830,219.000,11.000,221.320,6.813,221.880,6.810
SDSSJ1250+0523,252.000,14.000,243.020,10.284,242.306,10.292
SDSSJ1402+6321,267.000,17.000,274.033,11.061,273.866,11.055
SDSSJ1403+0006,213.000,17.000,201.409,12.107,201.583,12.090
SDSSJ1416+5136,240.000,25.000,244.961,18.530,245.554,18.519
SDSSJ1420+6019,205.000,10.000,204.972,3.031,204.653,3.030
SDSSJ1430+4105,322.000,32.000,304.012,21.631,304.691,21.560
SDSSJ1432+6317,199.000,10.000,209.858,5.776,209.815,5.762
SDSSJ1436-0000,224.000,17.000,228.992,13.002,226.214,13.028
SDSSJ1443+0304,209.000,11.000,211.503,8.331,212.094,8.413
SDSSJ1451-0239,223.000,14.000,204.151,9.848,203.823,9.827
SDSSJ1525+3327,264.000,26.000,308.082,22.274,306.002,22.105
SDSSJ1531-0105,279.000,14.000,261.332,10.207,261.317,10.230
SDSSJ1538+5817,189.000,12.000,177.917,8.727,177.283,8.686
SDSSJ1621+3931,236.000,20.000,232.289,14.489,233.903,14.560
SDSSJ1627-0053,290.000,15.000,274.165,10.594,274.266,10.597
SDSSJ1630+4520,276.000,16.000,281.334,13.018,282.871,13.092
SDSSJ1636+4707,231.000,15.000,223.116,10.281,223.129,10.282
SDSSJ2238-0754,198.000,11.000,224.992,8.172,225.761,8.199
SDSSJ2300+0022,279.000,17.000,300.404,13.353,299.694,13.349
SDSSJ2303+1422,255.000,16.000,249.457,12.577,250.781,12.576
SDSSJ2321-0939,249.000,12.000,239.899,5.641,239.802,5.642
SDSSJ2341+0000,207.000,13.000,212.636,9.879,212.606,9.879