,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,name,flag_imaging,IFU,perturber_flag,flag_sigma,theta_E,theta_E_error,gamma,gamma_error,z_lens,z_source,sigma_v,sigma_v_error,q,comment_sigma,r_eff,r_eff_error,comment_imaging,n_bin,r_max,psf_ifu,fiber_scale,flag_ifu,ifu_file_name,comment_ifu,ra,dec,q_l,q_l_hi,q_l_lo,phi_l,phi_l_hi,phi_l_lo,gamma_hi,gamma_lo,theta_E_hi,theta_E_lo,phi_m,phi_m_hi,phi_m_lo,del_phi,del_phi_hi,del_phi_lo,q_m,q_m_hi,q_m_lo,gamma_ext,gamma_ext_hi,gamma_ext_lo,psi_ext,psi_ext_hi,psi_ext_lo,delta_dec,delta_dec_hi,delta_dec_lo,delta_ra,delta_ra_hi,delta_ra_lo,gamma_pct,gamma_pct_hi,gamma_pct_lo,theta_E_pct,theta_E_pct_hi,theta_E_pct_lo,RA,DEC
28,27,20,20,SDSSJ0008-0004,0,0,1,0,1.1590,0.02,,,0.44,1.192,193.0,36.0,-1.0,,1.71,0.05985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0123333,-0.0689444
11,11,13,13,SDSSJ0029-0055,1,0,1,1,0.950614933904123,0.0038663506515582800,2.45627910651312,0.0961611490469799,0.227,0.931,229.0,18.0,-1.0,,2.16,0.0756,,,,,,,,,7.2824167,-0.9306944000000000,0.836513934675906,0.00226243651471136,0.00241320464373218,62.5425124139902,0.39333877123633,0.456672307668569,0.0685062542629389,0.0902417120550831,0.0031631285094094700,0.00286375880943246,66.3588506668589,2.01478042900015,1.70671012090125,3.79770218820598,2.2287430131821300,1.82486861181302,0.694766511205678,0.0369351612363994,0.0361211830456437,0.00188362741039765,0.00241304322258948,0.00129381464258655,-22.303416689584100,79.2828018729353,63.47685454917520,0.0386566991754531,0.007663891648147240,0.00680890603176269,0.027848968819401,0.00586453327594822,0.0058202536998667,2.47254550787898,0.0685062542629389,0.0902417120550831,0.950647536576572,0.0031631285094094700,0.00286375880943246,7.2824167,-0.9306944
15,15,21,21,SDSSJ0037-0942,1,1,1,1,1.50302523520533,0.0172127902408247,2.18779614461886,0.0381807786856234,0.195,0.632,279.0,10.0,-1.0,,1.8,0.063,,3,3.0,0.8,0.67,1.0,J0037_kinmap.fits,minor rotation,9.471708300000000,-9.7055833,0.700584030918904,0.00117775047844071,0.00128006851753604,82.8775905627645,0.10160731895958,0.0981981162613153,0.0524665685888919,0.0312345002234644,0.00860733632964061,0.0288624996025115,81.5254964369348,2.69646944352591,2.7023520566038600,-1.317404806086,2.71309924600132,2.74721017859357,0.64566268644367,0.0244115403491635,0.0226365844659995,0.0134803439831923,0.009755439349442640,0.00883560648185757,20.6121596453483,9.88513278210065,12.762290796231300,-0.00516563932065162,0.052519440373206900,0.0122577090959352,0.159594516749377,0.0116390946491431,0.0133455150298822,2.18099823779829,0.0524665685888919,0.0312345002234644,1.50925281014115,0.00860733632964061,0.0288624996025115,9.4717083,-9.7055833
29,28,22,22,SDSSJ0044+0113,0,0,1,1,0.7951,0.02,,,0.12,0.197,266.0,13.0,-1.0,,1.92,0.0672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0120833,1.2201667
50,,,,SDSSJ0216-0813,0,1,1,0,1.16,0.02,,,0.3317,0.5235,333,23,,,2.97,0.2,,4,4,0.8,0.67,1.0,J0216_kinmap.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2h 16m 52s 540ms,−08:13:45.3,34.21891667,-8.22925
10,10,12,12,SDSSJ0252+0039,1,0,0,1,1.01213663656079,0.003828188103588,2.11884913389476,0.137143811469247,0.28,0.982,164.0,12.0,-1.0,,1.39,0.04865,,,,,,,,,43.188375,0.6662222,0.930539840355405,0.0040520858949837400,0.00463666803129825,-24.627086206807500,2.14666688389164,2.32179736380275,0.0824666218433965,0.195479509887442,0.00482766702755422,0.00247071337691329,-9.51119835408578,8.118334183702090,9.32600390744379,14.6788520938254,8.282705673189960,7.45421278315199,0.893269075982146,0.0148057566089546,0.0261261099062293,0.00929981520140619,0.0167486848480744,0.00586343441795791,-33.2357316971652,15.5427452599307,23.4920141822719,-0.0106201332742479,0.007817909360586230,0.0037968570686410500,0.0554217878441445,0.007618203667577580,0.0129972766559455,2.15644232925362,0.0824666218433965,0.195479509887442,1.01132500208858,0.00482766702755422,0.00247071337691329,43.188375,0.6662222
9,9,11,11,SDSSJ0330-0020,1,0,1,1,1.07861892209691,0.0121882913526395,2.1604080804576100,0.0337242060214195,0.351,1.071,212.0,21.0,-1.0,,0.91,0.03185,,,,,,,,,52.5505833,-0.34775,0.738247340906026,0.00373411792585854,0.0036238963196713,-18.7279864908732,0.445632226991222,0.400650854216615,0.0165371646006571,0.016544048195076,0.0052673085992101,0.00500254270754996,-7.47915350477932,2.93167363251198,3.3820257653357,11.189445052263,3.06940934809191,3.26656489115103,0.686011141568099,0.043279317917445100,0.0378654442101958,0.0249797649438038,0.007184994883575110,0.00796451543186025,25.5256247319644,9.00821298766268,11.008731401147800,-0.0149916162562175,0.0180709040907181,0.0141654538144791,0.0429328776171406,0.00843659772771144,0.008994816007341190,2.16486611364997,0.0165371646006571,0.016544048195076,1.07712259688562,0.0052673085992101,0.00500254270754996,52.5505833,-0.34775
12,12,14,14,SDSSJ0728+3835,1,0,1,1,1.28215285481815,0.00600794005467776,2.23490126077537,0.055011848524992,0.206,0.688,214.0,11.0,-1.0,,1.78,0.0623,,,,,,,,,112.020625,38.5904722,0.753573476246784,0.0019140308021498,0.00211380589892807,22.587619901766900,0.256571987328304,0.274450752394831,0.050253092862555500,0.0481927099285655,0.0035150542902711,0.00450281142252918,24.095004391419400,1.26116970360182,1.20122580630185,1.53826990063353,1.17276322329526,1.18965136740826,0.587524163701467,0.0267640423120457,0.0269881962904436,0.0610767453747432,0.0068154204303568400,0.006935333210458120,16.0697164597325,3.03825345300139,3.0414538879702100,0.00850624640713734,0.00533030202926705,0.00459928399711663,0.0149574914479226,0.00455120155003352,0.0046973705249646,2.2327728724355,0.050253092862555500,0.0481927099285655,1.2831247384393,0.0035150542902711,0.00450281142252917,112.020625,38.5904722
4,4,4,4,SDSSJ0737+3216,1,0,0,1,0.976092997771472,0.00785124679803334,2.37668868011409,0.267790340632273,0.322,0.581,338.0,16.0,-1.0,,1.8,0.063,,,,,,,,,114.36854170000000,32.2718333,0.857796370927229,0.0065642293145062900,0.00555349712984798,-11.418444538257200,1.1965596469976,1.3935207427467,0.0583228003447651,0.584861602691162,0.0152052260517354,0.00354356809782386,-4.58633257018921,2.2822678416150700,3.6204858474340900,6.74800572324053,2.59532829209292,3.16290791182988,0.677299297214765,0.0360008885180898,0.0427607990628236,0.117142232011707,0.00923800237095335,0.106121061814548,78.0537727306116,1.19464310447131,30.955693254446200,-0.0068564241033346700,0.00571148158693918,0.00945450961401747,-0.0021956792629935,0.0055558080103438,0.003797574023052050,2.5085431318752900,0.0583228003447651,0.584861602691162,0.97310579194114,0.0152052260517354,0.00354356809782386,114.3685417,32.2718333
30,29,23,23,SDSSJ0819+4534,0,0,0,0,0.8474,0.02,,,0.194,0.446,225.0,15.0,-1.0,,1.98,0.0693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.8830417,45.5791111
16,16,24,24,SDSSJ0903+4116,1,0,0,0,1.27394471842891,0.0281001150730528,2.07548616028803,0.0577928556902698,0.43,1.065,223.0,27.0,-1.0,,1.78,0.0623,,,,,,,,,135.81329170000000,41.269194400000000,0.8549580043681,0.00613237273928247,0.00782979197008416,-86.7817242927471,13.5173453122908,1.18280148339717,0.0588938446360965,0.0729478572535722,0.014227320638847,0.006596246824398080,65.0836020298717,3.16342662299508,117.38066735657400,151.95465269953700,3.17220452507857,142.755948633429,0.717992695771024,0.12378219327978,0.0246450555611654,0.0894241417095936,0.0086413528516526,0.0882419390845649,50.084155077232300,3.1159843231931,50.7072112529321,0.0555659196572915,0.00983081902293147,0.0450506681331104,-0.0174029921245892,0.0137619360519826,0.00883333285637551,2.08010771035562,0.0588938446360965,0.0729478572535722,1.27121174893415,0.014227320638847,0.006596246824398080,135.8132917,41.2691944
23,22,9,9,SDSSJ0912+0029,0,1,1,1,1.627,0.02,,,0.164,0.324,326.0,12.0,-1.0,,4.01,0.14035,,3.0,3,0.8,0.67,1.0,J0912_kinmap.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.022125,0.4836667
31,30,25,25,SDSSJ0935-0003,0,1,0,1,0.8672,0.02,,,0.347,0.467,396.0,35.0,-1.0,,2.15,0.07525,,3.0,3.0,0.8,0.67,1.0,J0935_kinmap.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.9330417,-0.0596667
32,31,26,26,SDSSJ0936+0913,0,0,0,1,1.0887,0.02,,,0.19,0.588,243.0,11.0,-1.0,,2.11,0.07385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.0032083,9.2266111
8,8,8,8,SDSSJ0959+0410,1,1,1,1,0.968905467478956,0.03838261270393130,1.97090206054692,0.0326215247074913,0.126,0.535,197.0,13.0,-1.0,,1.29,0.04515,,3.0,3.0,0.8,0.67,-1.0,J0959_kinmap.fits,rotation,149.933625,4.171388900000000,0.66832773106329,0.0327443120792847,0.0423186591412543,31.2612166307057,4.47569238221015,4.213803779870340,0.0264797983255101,0.0477528260632834,0.0420666130926342,0.0171671317331037,12.7985255182663,26.0599135940346,2.1132479643428500,-18.6203504764932,24.6646696988936,2.14827192548274,0.71257275752345,0.0903429803523472,0.0162809604513398,0.0580789453465914,0.00964037259859302,0.0574317059983231,-10.502840540047200,11.149160663094200,2.77398782185569,-0.041147888645187,0.0590924357703435,0.0055309208875284800,0.0307369328032603,0.0111131076634511,0.0583686431746793,1.97991558041768,0.0264797983255101,0.0477528260632834,0.962199496103445,0.0420666130926342,0.0171671317331037,149.933625,4.1713889
33,32,27,27,SDSSJ0959+4416,0,0,1,1,0.9606,0.02,,,0.237,0.531,244.0,19.0,-1.0,,1.98,0.0693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.754,44.2776111
34,33,28,28,SDSSJ1016+3859,0,0,1,1,1.0904,0.02,,,0.168,0.439,247.0,13.0,-1.0,,1.46,0.0511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.09525,38.98425
35,34,29,29,SDSSJ1020+1122,0,0,1,1,1.2003,0.02,,,0.282,0.553,282.0,18.0,-1.0,,1.59,0.05565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.1105833,11.3780833
46,46,46,46,SDSSJ1023+4230,0,0,1,1,1.4142,0.02,,,0.191,0.696,242.0,15.0,-1.0,,1.77,0.06195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.8844167,42.5005
36,35,30,30,SDSSJ1100+5329,0,0,1,0,1.5176,0.02,,,0.317,0.858,187.0,23.0,-1.0,,2.2,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.101625,53.4871944
17,17,31,31,SDSSJ1112+0826,1,0,1,1,1.42239286894044,0.0154781125158136,2.21065907586486,0.06058992651536900,0.273,0.629,320.0,20.0,-1.0,,1.32,0.0462,,,,,,,,,168.21083330000000,8.4362222,0.746013804763748,0.00138667627404232,0.0014401917922291,-46.5491252836913,0.15737593793579,0.168248919263945,0.0609870009780589,0.0530894775591762,0.0165822435392369,0.0116757119332869,-56.965173907091500,1.63294684865297,1.35396474531118,-10.4224299859076,1.64694637090806,1.38598606219393,0.558480428419429,0.0553296906799898,0.032464413093017,0.0657353202079306,0.0172444094453755,0.036938206657427,-63.356571211072000,173.41333866443,7.27970079003191,-0.0227736575130571,0.016732838603754,0.0149954222814002,0.0368601190079791,0.0204505708055436,0.0199495558825441,2.20816637184177,0.0609870009780589,0.05308947755917610,1.42086275802444,0.0165822435392369,0.0116757119332869,168.2108333,8.4362222
37,36,32,32,SDSSJ1134+6027,0,0,1,1,1.1024,0.02,,,0.153,0.474,239.0,11.0,-1.0,,2.02,0.0707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.5245417,60.45375
38,37,33,33,SDSSJ1142+1001,0,0,1,1,0.9841,0.02,,,0.222,0.504,221.0,22.0,-1.0,,1.24,0.0434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.7389583,10.0199444
24,23,10,10,SDSSJ1143-0144,0,0,0,1,1.684,0.02,,,0.106,0.402,269.0,5.0,-1.0,,2.66,0.0931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.8735,-1.7416667
25,24,16,16,SDSSJ1153+4612,0,0,1,1,1.047,0.02,,,0.18,0.875,226.0,15.0,-1.0,,1.16,0.0406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.2949583,46.2014722
14,14,17,17,SDSSJ1204+0358,1,1,1,1,1.28733052389852,0.00903718422379165,2.17611682454546,0.0758878512943344,0.164,0.631,267.0,17.0,-1.0,,1.09,0.03815,,2,2,0.8,0.67,1.0,J1204_kinmap.fits,,181.183625,3.9684444000000000,0.987471907435149,0.0028419119572751200,0.00262066495833002,-48.7153248250455,5.202769067236230,4.78097822071362,0.0533947317790302,0.0621452386382595,0.0047174078580787300,0.00382279435952926,-3.80705724324838,2.83064926721391,3.18011130269174,44.1539956368795,6.264908191864520,5.75450503614974,0.818509185307886,0.0253580947830103,0.0300636151978475,0.056174409163482,0.00515085008169406,0.00552800261361695,-41.2801944245834,5.401633431291880,3.92809070259466,-0.0207700157897562,0.0076856482403595900,0.0103255206687542,-0.0525562363970238,0.0067351764476905,0.0064585676251663,2.18706184896184,0.0533947317790302,0.0621452386382595,1.28548520896337,0.0047174078580787300,0.00382279435952926,181.183625,3.9684444
39,38,34,34,SDSSJ1213+6708,0,0,1,1,1.4164,0.02,,,0.123,0.64,292.0,11.0,-1.0,,1.5,0.0525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.4190833,67.1413889
40,39,35,35,SDSSJ1218+0830,0,0,1,1,1.4502,0.02,,,0.135,0.717,219.0,10.0,-1.0,,2.7,0.0945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.61125,8.5139722
51,,,,SDSSJ1250-0135,-1,1,0,1,-1,0.02,,,0.0871,0.3529,246,9,,,4.01,0.2,no Einstein radius reported in Auger et al. 2009,4,4,0.8,0.67,0.0,J1250B_kinmap.fits,should have IFU flag=1 but does not have an Einstein radius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12h 50m 50s 520ms,−01:35:31.7,192.7105,-1.59213889
